epoch,train_loss,val_loss,train_wt_dice,val_wt_dice,val_tc_dice,val_et_dice,best_dice_so_far
1,0.9531864495892285,0.8315179691864893,0.6859866903011587,0.7785195065336628,0.5669677698362955,0.5800898561228618,0.6418590441642734
2,0.7128040147173822,0.5595014969577322,0.7620975677779758,0.8050250791898974,0.540077909066318,0.5416705666438387,0.6418590441642734
3,0.5119721793548151,0.4520423337947447,0.7950036608185349,0.8150273186343533,0.5622450547111737,0.6098292046400562,0.6623671926618611
4,0.44964469221033265,0.4257184198529987,0.8084904927757182,0.8251775142352481,0.6035472399157027,0.6285773751939722,0.6857673764483075
5,0.4285446771131836,0.41496307822269995,0.8171138146512026,0.8330813408731581,0.6217126888782121,0.65684669870052,0.7038802428172967
6,0.4180867174603713,0.4172221112840034,0.8224425285825558,0.83083478064387,0.6057608359837457,0.6738074977502814,0.7038802428172967
7,0.41229169091080925,0.40589710555553854,0.8271289130849374,0.8369783281863152,0.6583479731056997,0.6612095047941867,0.7188452686954006
8,0.4061062558022042,0.40883400530873476,0.8317882431357666,0.8386429212205894,0.594146200676095,0.6354917266571856,0.7188452686954006
9,0.40247877517334935,0.4219084688546983,0.8347611221159553,0.833810213458288,0.6979955568417215,0.7130405885262676,0.7482821196087591
10,0.39816013483742585,0.41986885725461937,0.8395572978141062,0.8264372617110506,0.6541692444507408,0.7024233414498529,0.7482821196087591
11,0.3938934810262374,0.4103268238917723,0.8424804078575692,0.8359822704867049,0.628049698205573,0.6794923064408364,0.7482821196087591
12,0.3897382179760302,0.41520886358941766,0.8466091233374826,0.8335713719154572,0.6571397041933695,0.6929565338822675,0.7482821196087591
13,0.3859387833742786,0.40857979380427956,0.8500397928650821,0.8402739204726852,0.6208642008474484,0.6667725617283841,0.7482821196087591
14,0.38338322493380506,0.4208750317224881,0.8529253736405572,0.8251511998526699,0.657127401635244,0.6950557412738401,0.7482821196087591
15,0.37962721745037403,0.4224898347930683,0.8553989141746834,0.8290381422201236,0.6510012853037056,0.6949495429274721,0.7482821196087591
16,0.372109703544645,0.4166581809025753,0.8637465827491526,0.8320013789030222,0.6507869930631069,0.6752786323635792,0.7482821196087591
17,0.36931277854792793,0.4205482472841452,0.8670123629240171,0.8351090866681579,0.6989327764604177,0.7209472964283242,0.7516630531856333
